PROTEIN_NAME	LOCUS	GENE_CONTIG	PFAM_ACC	PFAM_NAME	PFAM_DESCRIPTION	PFAM_START	PFAM_STOP	LENGTH	PFAM_SCORE	PFAM_EXPECTED
transposase	Rv3115	Mycobacterium tuberculosis H37Rv complete genome.	PF00872.10	Transposase_mut	Transposase, Mutator family	3481451	3482590	1140	727.0	0.0
molybdenum cofactor biosynthesis protein moeB2	Rv3116	Mycobacterium tuberculosis H37Rv complete genome.	PF05237.6	MoeZ_MoeB	MoeZ/MoeB domain	3483304	3483561	258	101.8	8.8E-30
molybdenum cofactor biosynthesis protein moeB2	Rv3116	Mycobacterium tuberculosis H37Rv complete genome.	PF00899.14	ThiF	ThiF family	3482893	3483297	405	154.6	9.9E-46
molybdenum cofactor biosynthesis protein moeB2	Rv3116	Mycobacterium tuberculosis H37Rv complete genome.	PF00581.13	Rhodanese	Rhodanese-like domain	3483634	3483918	285	71.7	4.7E-20
molybdenum cofactor biosynthesis protein moeB2	Rv3116	Mycobacterium tuberculosis H37Rv complete genome.	PF00581.12	Rhodanese	Rhodanese-like domain	3483634	3483918	285	78.70999908447266	2.0999999333575973E-20
molybdenum cofactor biosynthesis protein moeB2	Rv3116	Mycobacterium tuberculosis H37Rv complete genome.	PF05237.5	MoeZ_MoeB	MoeZ/MoeB domain	3483304	3483561	258	149.88999938964844	7.799627252431932E-42
molybdenum cofactor biosynthesis protein moeB2	Rv3116	Mycobacterium tuberculosis H37Rv complete genome.	PF00899.13	ThiF	ThiF family	3482893	3483297	405	247.3000030517578	0.0
molybdenum cofactor biosynthesis protein moeB2	Rv3116	Mycobacterium tuberculosis H37Rv complete genome.	PF00581.12	Rhodanese	Rhodanese-like domain	3483634	3483918	285	78.0999984741211	2.799999911143463E-20
molybdenum cofactor biosynthesis protein moeB2	Rv3116	Mycobacterium tuberculosis H37Rv complete genome.	PF05237.5	MoeZ_MoeB	MoeZ/MoeB domain	3483304	3483561	258	149.1999969482422	1.1000192944949814E-41
molybdenum cofactor biosynthesis protein moeB2	Rv3116	Mycobacterium tuberculosis H37Rv complete genome.	PF00899.13	ThiF	ThiF family	3482893	3483297	405	246.60000610351562	0.0
thiosulfate sulfurtransferase cysA3	Rv3117	Mycobacterium tuberculosis H37Rv complete genome.	PF00581.13	Rhodanese	Rhodanese-like domain	3484415	3484777	363	141.3	1.1E-41
thiosulfate sulfurtransferase cysA3	Rv3117	Mycobacterium tuberculosis H37Rv complete genome.	PF00581.13	Rhodanese	Rhodanese-like domain	3483998	3484330	333	141.3	1.1E-41
thiosulfate sulfurtransferase cysA3	Rv3117	Mycobacterium tuberculosis H37Rv complete genome.	PF00581.12	Rhodanese	Rhodanese-like domain	3484412	3484777	366	201.44000244140625	0.0
thiosulfate sulfurtransferase cysA3	Rv3117	Mycobacterium tuberculosis H37Rv complete genome.	PF00581.12	Rhodanese	Rhodanese-like domain	3483998	3484330	333	201.44000244140625	0.0
thiosulfate sulfurtransferase cysA3	Rv3117	Mycobacterium tuberculosis H37Rv complete genome.	PF00581.12	Rhodanese	Rhodanese-like domain	3484412	3484777	366	109.9000015258789	7.299999722222307E-30
thiosulfate sulfurtransferase cysA3	Rv3117	Mycobacterium tuberculosis H37Rv complete genome.	PF00581.12	Rhodanese	Rhodanese-like domain	3483998	3484330	333	91.19999694824219	3.0999999126671725E-24
hypothetical protein sseC1	Rv3118	Mycobacterium tuberculosis H37Rv complete genome.	PF07210.4	DUF1416	Protein of unknown function (DUF1416)	3484845	3485105	261	199.86000061035156	0.0
hypothetical protein sseC1	Rv3118	Mycobacterium tuberculosis H37Rv complete genome.	PF07210.5	DUF1416	Protein of unknown function (DUF1416)	3484845	3485105	261	133.7	1.0E-39
hypothetical protein sseC1	Rv3118	Mycobacterium tuberculosis H37Rv complete genome.	PF07210.4	DUF1416	Protein of unknown function (DUF1416)	3484812	3485105	294	127.4000015258789	4.1000000307624E-35
molybdenum cofactor biosynthesis protein E moaE1	Rv3119	Mycobacterium tuberculosis H37Rv complete genome.	PF02391.10	MoaE	MoaE protein	3485165	3485515	351	142.4	3.8E-42
molybdenum cofactor biosynthesis protein E moaE1	Rv3119	Mycobacterium tuberculosis H37Rv complete genome.	PF02391.9	MoaE	MoaE protein	3485165	3485515	351	229.4199981689453	0.0
molybdenum cofactor biosynthesis protein E moaE1	Rv3119	Mycobacterium tuberculosis H37Rv complete genome.	PF02391.9	MoaE	MoaE protein	3485165	3485515	351	229.39999389648438	0.0
conserved hypothetical protein	Rv3120	Mycobacterium tuberculosis H37Rv complete genome.	PF08241.5	Methyltransf_11	Methyltransferase domain	3485725	3486003	279	22.4	9.4E-5
cytochrome P450 141 cyp141	Rv3121	Mycobacterium tuberculosis H37Rv complete genome.	PF00067.15	p450	Cytochrome P450	3487307	3487669	363	82.5	1.7E-23
cytochrome P450 141 cyp141	Rv3121	Mycobacterium tuberculosis H37Rv complete genome.	PF00067.15	p450	Cytochrome P450	3487040	3487321	282	82.5	1.7E-23
cytochrome P450 141 cyp141	Rv3121	Mycobacterium tuberculosis H37Rv complete genome.	PF00067.14	p450	Cytochrome P450	3486527	3487693	1167	-56.900001525878906	2.2000000043931323E-8
transcriptional regulator	Rv3124	Mycobacterium tuberculosis H37Rv complete genome.	PF03704.9	BTAD	Bacterial transcriptional activator domain	3489806	3490243	438	178.3000030517578	0.0
transcriptional regulator	Rv3124	Mycobacterium tuberculosis H37Rv complete genome.	PF00486.21	Trans_reg_C	Transcriptional regulatory protein, C terminal	3489548	3489784	237	58.6	3.4E-16
transcriptional regulator	Rv3124	Mycobacterium tuberculosis H37Rv complete genome.	PF03704.10	BTAD	Bacterial transcriptional activator domain	3489806	3490243	438	152.6	6.5E-45
transcriptional regulator	Rv3124	Mycobacterium tuberculosis H37Rv complete genome.	PF00486.20	Trans_reg_C	Transcriptional regulatory protein, C terminal	3489548	3489784	237	76.7300033569336	8.300000059721264E-20
transcriptional regulator	Rv3124	Mycobacterium tuberculosis H37Rv complete genome.	PF03704.9	BTAD	Bacterial transcriptional activator domain	3489806	3490243	438	178.8800048828125	0.0
transcriptional regulator	Rv3124	Mycobacterium tuberculosis H37Rv complete genome.	PF00486.20	Trans_reg_C	Transcriptional regulatory protein, C terminal	3489548	3489784	237	76.9000015258789	6.19999980324624E-20
PPE family protein	Rv3125c	Mycobacterium tuberculosis H37Rv complete genome.	PF00823.11	PPE	PPE family	3491157	3491633	477	197.8000030517578	0.0
PPE family protein	Rv3125c	Mycobacterium tuberculosis H37Rv complete genome.	PF00823.11	PPE	PPE family	3491157	3491633	477	197.7899932861328	0.0
PPE family protein	Rv3125c	Mycobacterium tuberculosis H37Rv complete genome.	PF12484.1	PE_PPE_C	Polymorphic PE/PPE proteins C terminal	3490485	3490778	294	47.0	2.8E-12
PPE family protein	Rv3125c	Mycobacterium tuberculosis H37Rv complete genome.	PF00823.12	PPE	PPE family	3491157	3491633	477	202.9	2.0E-60
conserved hypothetical protein	Rv3128c	Mycobacterium tuberculosis H37Rv complete genome.	PF00665.18	rve	Integrase core domain	3493450	3493914	465	33.5	7.200000027296483E-7
conserved hypothetical protein	Rv3128c	Mycobacterium tuberculosis H37Rv complete genome.	PF00665.18	rve	Integrase core domain	3493456	3493914	459	41.41999816894531	3.5000000675466936E-9
conserved hypothetical protein	Rv3130c	Mycobacterium tuberculosis H37Rv complete genome.	PF03007.8	UPF0089	Uncharacterised protein family (UPF0089)	3495599	3496357	759	399.3999938964844	0.0
conserved hypothetical protein	Rv3130c	Mycobacterium tuberculosis H37Rv complete genome.	PF03007.8	UPF0089	Uncharacterised protein family (UPF0089)	3495599	3496357	759	399.45001220703125	0.0
conserved hypothetical protein	Rv3130c	Mycobacterium tuberculosis H37Rv complete genome.	TIGR02946	acyl_WS_DGAT	acyltransferase, WS/DGAT/MGAT	3495026	3496357	1332	688.25	0.0
conserved hypothetical protein	Rv3130c	Mycobacterium tuberculosis H37Rv complete genome.	TIGR02946	TIGR02946	acyl_WS_DGAT: acyltransferase, WS/DGAT/MGAT	3495026	3496357	1332	487.3	0.0
conserved hypothetical protein	Rv3130c	Mycobacterium tuberculosis H37Rv complete genome.	PF03007.9	UPF0089	Uncharacterised protein family (UPF0089)	3495599	3496357	759	275.5	3.5E-82
conserved hypothetical protein	Rv3131	Mycobacterium tuberculosis H37Rv complete genome.	PF00881.16	Nitroreductase	Nitroreductase family	3496551	3497453	903	31.649999618530273	3.000000106112566E-6
conserved hypothetical protein	Rv3131	Mycobacterium tuberculosis H37Rv complete genome.	PF00881.17	Nitroreductase	Nitroreductase family	3497139	3497453	315	54.9	6.7E-15
two component system sensor histidine kinase devS	Rv3132c	Mycobacterium tuberculosis H37Rv complete genome.	PF01590.19	GAF	GAF domain	3498159	3498575	417	109.4	1.4E-31
two component system sensor histidine kinase devS	Rv3132c	Mycobacterium tuberculosis H37Rv complete genome.	PF07730.6	HisKA_3	Histidine kinase	3497910	3498110	201	50.5	1.5E-13
two component system sensor histidine kinase devS	Rv3132c	Mycobacterium tuberculosis H37Rv complete genome.	PF02518.19	HATPase_c	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase	3497535	3497804	270	46.5	1.9E-12
two component system sensor histidine kinase devS	Rv3132c	Mycobacterium tuberculosis H37Rv complete genome.	PF01590.19	GAF	GAF domain	3498666	3499079	414	109.4	1.4E-31
two component system sensor histidine kinase devS	Rv3132c	Mycobacterium tuberculosis H37Rv complete genome.	PF07730.5	HisKA_3	Histidine kinase	3497910	3498110	201	55.86000061035156	1.599999971922672E-13
two component system sensor histidine kinase devS	Rv3132c	Mycobacterium tuberculosis H37Rv complete genome.	PF02518.18	HATPase_c	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase	3497535	3497804	270	78.12999725341797	3.09999990162312E-20
two component system sensor histidine kinase devS	Rv3132c	Mycobacterium tuberculosis H37Rv complete genome.	PF01590.18	GAF	GAF domain	3498159	3498575	417	162.72000122070312	1.401298464324817E-45
two component system sensor histidine kinase devS	Rv3132c	Mycobacterium tuberculosis H37Rv complete genome.	PF01590.18	GAF	GAF domain	3498666	3499079	414	162.72000122070312	1.401298464324817E-45
two component system sensor histidine kinase devS	Rv3132c	Mycobacterium tuberculosis H37Rv complete genome.	PF02518.18	HATPase_c	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase	3497535	3497804	270	79.0	1.4999999523982838E-20
two component system sensor histidine kinase devS	Rv3132c	Mycobacterium tuberculosis H37Rv complete genome.	PF01590.18	GAF	GAF domain	3498159	3498575	417	63.20000076293945	8.399999797536887E-16
two component system sensor histidine kinase devS	Rv3132c	Mycobacterium tuberculosis H37Rv complete genome.	PF07730.5	HisKA_3	Histidine kinase	3497910	3498110	201	55.79999923706055	1.4000000431949738E-13
two component system sensor histidine kinase devS	Rv3132c	Mycobacterium tuberculosis H37Rv complete genome.	PF01590.18	GAF	GAF domain	3498666	3499079	414	99.69999694824219	8.900000377297386E-27
two component system transcriptional regulator devR	Rv3133c	Mycobacterium tuberculosis H37Rv complete genome.	PF00072.17	Response_reg	Response regulator receiver domain	3499568	3499906	339	79.8	1.1E-22
two component system transcriptional regulator devR	Rv3133c	Mycobacterium tuberculosis H37Rv complete genome.	PF00196.11	GerE	Bacterial regulatory proteins, luxR family	3499304	3499477	174	75.62999725341797	1.7999999428779406E-19
two component system transcriptional regulator devR	Rv3133c	Mycobacterium tuberculosis H37Rv complete genome.	PF00072.16	Response_reg	Response regulator receiver domain	3499568	3499906	339	103.19000244140625	8.899999606925409E-28
two component system transcriptional regulator devR	Rv3133c	Mycobacterium tuberculosis H37Rv complete genome.	PF00196.11	GerE	Bacterial regulatory proteins, luxR family	3499304	3499477	174	75.5999984741211	1.5000000170217692E-19
two component system transcriptional regulator devR	Rv3133c	Mycobacterium tuberculosis H37Rv complete genome.	PF00072.16	Response_reg	Response regulator receiver domain	3499568	3499912	345	105.69999694824219	1.4000000044395076E-28
two component system transcriptional regulator devR	Rv3133c	Mycobacterium tuberculosis H37Rv complete genome.	PF00196.12	GerE	Bacterial regulatory proteins, luxR family	3499304	3499477	174	62.0	1.8E-17
two component system transcriptional regulator devR	Rv3133c	Mycobacterium tuberculosis H37Rv complete genome.	PF08281.5	Sigma70_r4_2	Sigma-70, region 4	3499340	3499477	138	23.3	2.4E-5
conserved hypothetical protein	Rv3134c	Mycobacterium tuberculosis H37Rv complete genome.	PF00582.18	Usp	Universal stress protein family	3500339	3500734	396	61.70000076293945	2.3000000189311474E-15
conserved hypothetical protein	Rv3134c	Mycobacterium tuberculosis H37Rv complete genome.	PF00582.18	Usp	Universal stress protein family	3500339	3500734	396	61.38999938964844	3.399999991157655E-15
conserved hypothetical protein	Rv3134c	Mycobacterium tuberculosis H37Rv complete genome.	PF00582.19	Usp	Universal stress protein family	3500339	3500734	396	76.5	1.7E-21
PPE family protein	Rv3135	Mycobacterium tuberculosis H37Rv complete genome.	PF00823.12	PPE	PPE family	3501346	3501726	381	142.3	8.4E-42
PPE family protein	Rv3135	Mycobacterium tuberculosis H37Rv complete genome.	PF00823.11	PPE	PPE family	3501346	3501726	381	56.34000015258789	1.100000014578155E-13
PPE family protein	Rv3135	Mycobacterium tuberculosis H37Rv complete genome.	PF00823.11	PPE	PPE family	3501346	3501726	381	56.29999923706055	9.799999760263731E-14
PPE family protein	Rv3136	Mycobacterium tuberculosis H37Rv complete genome.	PF00823.11	PPE	PPE family	3501806	3502279	474	203.9499969482422	0.0
PPE family protein	Rv3136	Mycobacterium tuberculosis H37Rv complete genome.	PF00823.12	PPE	PPE family	3501806	3502282	477	210.0	1.3E-62
PPE family protein	Rv3136	Mycobacterium tuberculosis H37Rv complete genome.	PF12484.1	PE_PPE_C	Polymorphic PE/PPE proteins C terminal	3502685	3502924	240	67.1	1.6E-18
PPE family protein	Rv3136	Mycobacterium tuberculosis H37Rv complete genome.	PF00823.11	PPE	PPE family	3501806	3502279	474	204.0	0.0
monophosphatase	Rv3137	Mycobacterium tuberculosis H37Rv complete genome.	PF00459.18	Inositol_P	Inositol monophosphatase family	3503399	3504169	771	183.4	3.8E-54
monophosphatase	Rv3137	Mycobacterium tuberculosis H37Rv complete genome.	TIGR02067	TIGR02067	his_9_proposed: histidinol-phosphate phosphatase HisN	3503405	3504166	762	281.7	1.1E-84
monophosphatase	Rv3137	Mycobacterium tuberculosis H37Rv complete genome.	TIGR02067	his_9_proposed	histidinol-phosphate phosphatase HisN	3503405	3504166	762	390.5899963378906	0.0
monophosphatase	Rv3137	Mycobacterium tuberculosis H37Rv complete genome.	PF00459.17	Inositol_P	Inositol monophosphatase family	3503399	3504154	756	268.75	0.0
monophosphatase	Rv3137	Mycobacterium tuberculosis H37Rv complete genome.	PF00459.17	Inositol_P	Inositol monophosphatase family	3503399	3504154	756	268.8999938964844	0.0
pyruvate formate lyase activating protein pflA	Rv3138	Mycobacterium tuberculosis H37Rv complete genome.	PF04055.13	Radical_SAM	Radical SAM superfamily	3504435	3504911	477	79.5	1.0999999650920748E-20
pyruvate formate lyase activating protein pflA	Rv3138	Mycobacterium tuberculosis H37Rv complete genome.	PF04055.14	Radical_SAM	Radical SAM superfamily	3504441	3504911	471	58.0	9.6E-16
pyruvate formate lyase activating protein pflA	Rv3138	Mycobacterium tuberculosis H37Rv complete genome.	PF04055.13	Radical_SAM	Radical SAM superfamily	3504435	3504911	477	80.08999633789062	7.99999974612418E-21
acyl-CoA dehydrogenase fadE24	Rv3139	Mycobacterium tuberculosis H37Rv complete genome.	PF08028.4	Acyl-CoA_dh_2	Acyl-CoA dehydrogenase, C-terminal domain	3506392	3506754	363	49.4	4.0E-13
acyl-CoA dehydrogenase fadE24	Rv3139	Mycobacterium tuberculosis H37Rv complete genome.	PF02770.12	Acyl-CoA_dh_M	Acyl-CoA dehydrogenase, middle domain	3506044	3506202	159	41.1	7.1E-11
acyl-CoA dehydrogenase fadE24	Rv3139	Mycobacterium tuberculosis H37Rv complete genome.	PF02770.11	Acyl-CoA_dh_M	Acyl-CoA dehydrogenase, middle domain	3506044	3506202	159	44.5	3.7000000285836165E-10
acyl-CoA dehydrogenase fadE24	Rv3139	Mycobacterium tuberculosis H37Rv complete genome.	PF02771.9	Acyl-CoA_dh_N	Acyl-CoA dehydrogenase, N-terminal domain	3505690	3506028	339	77.8	7.2E-22
acyl-CoA dehydrogenase fadE24	Rv3139	Mycobacterium tuberculosis H37Rv complete genome.	PF00441.17	Acyl-CoA_dh_1	Acyl-CoA dehydrogenase, C-terminal domain	3506362	3506760	399	101.9	2.6E-29
acyl-CoA dehydrogenase fadE24	Rv3139	Mycobacterium tuberculosis H37Rv complete genome.	PF08028.3	Acyl-CoA_dh_2	Acyl-CoA dehydrogenase, C-terminal domain	3506392	3506751	360	38.33000183105469	2.999999892949745E-8
acyl-CoA dehydrogenase fadE24	Rv3139	Mycobacterium tuberculosis H37Rv complete genome.	PF02770.11	Acyl-CoA_dh_M	Acyl-CoA dehydrogenase, middle domain	3506044	3506202	159	44.31999969482422	4.699999833768231E-10
acyl-CoA dehydrogenase fadE24	Rv3139	Mycobacterium tuberculosis H37Rv complete genome.	PF00441.16	Acyl-CoA_dh_1	Acyl-CoA dehydrogenase, C-terminal domain	3506368	3506766	399	85.91000366210938	1.4000000313023785E-22
acyl-CoA dehydrogenase fadE24	Rv3139	Mycobacterium tuberculosis H37Rv complete genome.	PF02771.8	Acyl-CoA_dh_N	Acyl-CoA dehydrogenase, N-terminal domain	3505690	3506028	339	95.25	2.199999944383646E-25
acyl-CoA dehydrogenase fadE24	Rv3139	Mycobacterium tuberculosis H37Rv complete genome.	PF02771.8	Acyl-CoA_dh_N	Acyl-CoA dehydrogenase, N-terminal domain	3505690	3506031	342	23.899999618530273	2.900000026784255E-6
acyl-CoA dehydrogenase fadE24	Rv3139	Mycobacterium tuberculosis H37Rv complete genome.	PF00441.16	Acyl-CoA_dh_1	Acyl-CoA dehydrogenase, C-terminal domain	3506368	3506766	399	86.80000305175781	6.799999935666847E-23
acyl-CoA dehydrogenase fadE24	Rv3139	Mycobacterium tuberculosis H37Rv complete genome.	PF08028.3	Acyl-CoA_dh_2	Acyl-CoA dehydrogenase, C-terminal domain	3506392	3506751	360	38.29999923706055	2.6000000374892807E-8
acyl-CoA dehydrogenase fadE23	Rv3140	Mycobacterium tuberculosis H37Rv complete genome.	PF08028.4	Acyl-CoA_dh_2	Acyl-CoA dehydrogenase, C-terminal domain	3507558	3507935	378	40.8	1.8E-10
acyl-CoA dehydrogenase fadE23	Rv3140	Mycobacterium tuberculosis H37Rv complete genome.	PF02770.12	Acyl-CoA_dh_M	Acyl-CoA dehydrogenase, middle domain	3507177	3507332	156	67.4	4.3E-19
acyl-CoA dehydrogenase fadE23	Rv3140	Mycobacterium tuberculosis H37Rv complete genome.	PF02770.11	Acyl-CoA_dh_M	Acyl-CoA dehydrogenase, middle domain	3507177	3507332	156	85.30000305175781	1.9000000154351397E-22
acyl-CoA dehydrogenase fadE23	Rv3140	Mycobacterium tuberculosis H37Rv complete genome.	PF00441.16	Acyl-CoA_dh_1	Acyl-CoA dehydrogenase, C-terminal domain	3507510	3507968	459	130.0	6.599999717036267E-36
acyl-CoA dehydrogenase fadE23	Rv3140	Mycobacterium tuberculosis H37Rv complete genome.	PF08028.3	Acyl-CoA_dh_2	Acyl-CoA dehydrogenase, C-terminal domain	3507555	3507935	381	23.899999618530273	5.599999894911889E-6
acyl-CoA dehydrogenase fadE23	Rv3140	Mycobacterium tuberculosis H37Rv complete genome.	PF00441.16	Acyl-CoA_dh_1	Acyl-CoA dehydrogenase, C-terminal domain	3507510	3507968	459	131.1199951171875	3.499999991262302E-36
acyl-CoA dehydrogenase fadE23	Rv3140	Mycobacterium tuberculosis H37Rv complete genome.	PF02770.11	Acyl-CoA_dh_M	Acyl-CoA dehydrogenase, middle domain	3507177	3507332	156	85.23999786376953	2.3000000784719956E-22
acyl-CoA dehydrogenase fadE23	Rv3140	Mycobacterium tuberculosis H37Rv complete genome.	PF00441.17	Acyl-CoA_dh_1	Acyl-CoA dehydrogenase, C-terminal domain	3507510	3507968	459	119.5	9.7E-35
